RANK,TEAM,LEAGUE,AVG ANNUAL PAY £,AVG ANNUAL PAY $
"(LAST YEAR)",,,(AVG WEEKLY PAY),(AVG WEEKLY PAY)
RANK,TEAM,LEAGUE,AVG ANNUAL PAY £,AVG ANNUAL PAY $
"(LAST YEAR)",,,(AVG WEEKLY PAY),(AVG WEEKLY PAY)
156 (174),Marseille,Ligue 1,"£1,769,700 (£34,033)","$2,300,610 ($44,243)"
157 (125),New York Jets,NFL,"£1,757,952 (£33,807)","$2,285,338 ($43,949)"
158 (162),Swansea,EPL,"£1,712,880 (£32,940)","$2,226,744 ($42,822)"
159 (-),Newcastle,EPL,"£1,710,222 (£32,889)","$2,223,289 ($42,756)"
160 (158),Tampa Bay Rays,MLB,"£1,682,272 (£32,351)","$2,186,954 ($42,057)"
161 (142),Schalke,Bundesliga,"£1,654,052 (£31,809)","$2,150,268 ($41,351)"
162 (173),cleveland Browns,NFL,"£1,644,663 (£31,628)","$2,138,062 ($41,117)"
163 (-),Tianjin quanjian,cSL,"£1,612,198 (£31,004)","$2,095,857 ($40,305)"
164 (151),San Francisco 49ers,NFL,"£1,591,304 (£30,602)","$2,068,695 ($39,783)"
165 (177),Bournemouth,EPL,"£1,577,333 (£30,333)","$2,050,533 ($39,433)"
166 (176),Hebei china Fortune,cSL,"£1,551,731 (£29,841)","$2,017,250 ($38,793)"
167 (163),Bayer Leverkusen,Bundesliga,"£1,518,400 (£29,200)","$1,973,920 ($37,960)"
168 (172),Lazio,Serie A,"£1,488,278 (£28,621)","$1,934,761 ($37,207)"
169 (157),Watford,EPL,"£1,457,857 (£28,036)","$1,895,214 ($36,446)"
170 (169),Athletic Bilbao,La Liga,"£1,419,500 (£27,298)","$1,845,350 ($35,488)"
171 (203),Shanghai Shenua,cSL,"£1,375,986 (£26,461)","$1,788,781 ($34,400)"
172 (181),Burnley,EPL,"£1,371,500 (£26,375)","$1,782,950 ($34,288)"
173 (168),Lyon,Ligue 1,"£1,354,704 (£26,052)","$1,761,115 ($33,868)"
174 (-),Brighton,EPL,"£1,346,429 (£25,893)","$1,750,357 ($33,661)"
175 (179),Real Sociedad,La Liga,"£1,335,750 (£25,688)","$1,736,475 ($33,394)"
176 (167),Villarreal,La Liga,"£1,326,115 (£25,502)","$1,723,950 ($33,153)"
177 (178),Fukuoka SoftBank Hawks,NPB,"£1,310,563 (£25,203)","$1,703,732 ($32,764)"
178 (188),RB Leipzig,Bundesliga,"£1,269,382 (£24,411)","$1,650,197 ($31,735)"
179 (166),Guangzhou Evergrande,cSL,"£1,149,117 (£22,098)","$1,493,852 ($28,728)"
180 (184),Hoffenheim,Bundesliga,"£1,125,415 (£21,643)","$1,463,039 ($28,135)"
181 (180),Borussia Monchengladbach,Bundesliga,"£1,076,586 (£20,704)","$1,399,561 ($26,915)"
182 (160),Shangdong Luneng,cSL,"£1,066,564 (£20,511)","$1,386,533 ($26,664)"
183 (189),Torino,Serie A,"£1,052,596 (£20,242)","$1,368,375 ($26,315)"
184 (182),Yomiuri Giants,NPB,"£1,051,486 (£20,221)","$1,366,932 ($26,287)"
185 (187),Espanyol,La Liga,"£1,046,175 (£20,119)","$1,360,028 ($26,154)"
186 (194),Sampdoria,Serie A,"£1,039,981 (£20,000)","$1,351,976 ($26,000)"
187 (-),Huddersfield,EPL,"£1,024,012 (£19,693)","$1,331,216 ($25,600)"
188 (183),Hamburg,Bundesliga,"£1,014,018 (£19,500)","$1,318,223 ($25,350)"
189 (185),Hertha Berlin,Bundesliga,"£1,000,350 (£19,238)","$1,300,455 ($25,009)"
190 (201),Fc Koln,Bundesliga,"£992,250 (£19,082)","$1,289,925 ($24,806)"
191 (223),Real Betis,La Liga,"£978,504 (£18,817)","$1,272,056 ($24,463)"
192 (175),Fiorentina,Serie A,"£974,605 (£18,742)","$1,266,986 ($24,365)"
193 (208),celta Vigo,La Liga,"£968,032 (£18,616)","$1,258,442 ($24,201)"
194 (213),Nice,Ligue 1,"£915,007 (£17,596)","$1,189,510 ($22,875)"
195 (165),Jiangsu Suning,cSL,"£914,904 (£17,594)","$1,189,375 ($22,873)"
196 (196),Deportivo La coruna,La Liga,"£881,608 (£16,954)","$1,146,090 ($22,040)"
197 (64),San Diego Padres,MLB,"£857,926 (£16,499)","$1,115,303 ($21,448)"
198 (215),Malaga,La Liga,"£856,060 (£16,463)","$1,112,878 ($21,402)"
199 (186),Genoa,Serie A,"£848,679 (£16,321)","$1,103,282 ($21,217)"
200 (191),Bologna,Serie A,"£821,538 (£15,799)","$1,068,000 ($20,538)"
201 (195),Sassuolo,Serie A,"£769,214 (£14,793)","$999,979 ($19,230)"
202 (212),Atalanta,Serie A,"£769,136 (£14,791)","$999,877 ($19,228)"
203 (192),celtic,Scot Prem,"£735,040 (£14,135)","$955,552 ($18,376)"
204 (197),Beijing Guoan,cSL,"£724,938 (£13,941)","$942,419 ($18,123)"
RANK,TEAM,LEAGUE,AVG ANNUAL PAY £,AVG ANNUAL PAY $
"(LAST YEAR)",,,(AVG WEEKLY PAY),(AVG WEEKLY PAY)
205 (198),Hanshin Tigers,NPB,"£686,549 (£13,203)","$892,514 ($17,164)"
206 (209),cagliari,Serie A,"£653,903 (£12,575)","$850,074 ($16,348)"
207 (228),Eibar,La Liga,"£648,185 (£12,465)","$842,641 ($16,205)"
208 (190),Bordeaux,Ligue 1,"£643,032 (£12,366)","$835,942 ($16,076)"
209 (205),Eintracht Frankfurt,Bundesliga,"£638,471 (£12,278)","$830,013 ($15,962)"
210 (204),Toronto Fc,MLS,"£638,171 (£12,273)","$829,623 ($15,954)"
211 (207),Tokyo Yakult Swallows,NPB,"£626,432 (£12,047)","$814,362 ($15,661)"
212 (211),Hokkaido Nippon Ham Fighters,NPB,"£623,592(£11,992)","$810,669($15,590)"
213 (200),Werder Bremen,Bundesliga,"£621,214 (£11,946)","$807,579 ($15,530)"
214 (206),Lille,Ligue 1,"£620,691 (£11,936)","$806,898 ($15,517)"
215 (-),Girona,La Liga,"£617,283 (£11,871)","$802,468 ($15,432)"
216 (193),Orix Buffaloes,NPB,"£615,634 (£11,839)","$800,324 ($15,391)"
217 (210),Saitama Seibu Lions,NPB,"£611,385 (£11,757)","$794,800 ($15,285)"
218 (-),Hellas Verona,Serie A,"£597,728 (£11,495)","$777,047 ($14,943)"
219 (-),SPAL,Serie A,"£576,218 (£11,081)","$749,083 ($14,405)"
220 (202),Saint-Etienne,Ligue 1,"£568,341 (£10,930)","$738,843 ($14,209)"
221 (217),Mainz,Bundesliga,"£562,855 (£10,824)","$731,712 ($14,071)"
222 (248),Alaves,La Liga,"£560,444 (£10,778)","$728,578 ($14,011)"
223 (-),Getafe,La Liga,"£544,781 (£10,477)","$708,215 ($13,620)"
224 (-),Stuttgart,Bundesliga,"£538,400 (£10,354)","$699,920 ($13,460)"
225 (253),Las Palmas,La Liga,"£537,863 (£10,344)","$699,222 ($13,447)"
226 (224),Toulouse,Ligue 1,"£536,500 (£10,317)","$697,450 ($13,413)"
227 (214),Udinese,Serie A,"£534,511 (£10,279)","$694,865 ($13,363)"
228 (254),Leganes,La Liga,"£523,274 (£10,063)","$680,256 ($13,082)"
229 (225),chievo,Serie A,"£522,019 (£10,039)","$678,625 ($13,050)"
230 (229),Rennes,Ligue 1,"£520,686 (£10,013)","$676,892 ($13,017)"
231 (221),Augsburg,Bundesliga,"£517,021 (£9,943)","$672,127 ($12,926)"
232 (199),New York city Fc,MLS,"£492,592 (£9,473)","$640,370 ($12,315)"
233 (-),Levante,La Liga,"£490,750 (£9,438)","$637,975 ($12,269)"
234 (219),chiba Lotte Marines,NPB,"£490,423 (£9,431)","$637,549 ($12,261)"
235 (216),Hiroshima Toyo carp,NPB,"£488,979 (£9,403)","$635,673 ($12,224)"
236 (222),Tohoku Rakuten Golden Eagles,NPB,"£465,023 (£8,943)","$604,531 ($11,626)"
237 (226),Montpellier,Ligue 1,"£464,500 (£8,933)","$603,850 ($11,613)"
238 (251),Nantes,Ligue 1,"£458,081 (£8,809)","$595,506 ($11,452)"
239 (305),changchun Yatai,cSL,"£457,308 (£8,794)","$594,500 ($11,433)"
240 (234),Yokohama DeNA Bay Stars,NPB,"£455,869 (£8,767)","$592,629 ($11,397)"
241 (-),Hannover 96,Bundesliga,"£449,966 (£8,653)","$584,956 ($11,249)"
242 (240),Freiburg,Bundesliga,"£448,718 (£8,629)","$583,334 ($11,218)"
243 (256),Tianjin Teda,cSL,"£442,382 (£8,507)","$575,097 ($11,060)"
244 (231),chunichi Dragons,NPB,"£430,188 (£8,273)","$559,244 ($10,755)"
245 (-),Benevento,Serie A,"£427,885 (£8,229)","$556,250 ($10,697)"
246 (235),caen,Ligue 1,"£416,770 (£8,015)","$541,801 ($10,419)"
247 (-),Amiens,Ligue 1,"£409,067 (£7,867)","$531,787 ($10,227)"
248 (-),Strasbourg,Ligue 1,"£378,393 (£7,277)","$491,911 ($9,460)"
249 (307),chicago Fire,MLS,"£369,011 (£7,096)","$479,714 ($9,225)"
250 (242),Metz,Ligue 1,"£366,889 (£7,056)","$476,956 ($9,172)"
251 (239),Dijon,Ligue 1,"£365,100 (£7,021)","$474,630 ($9,128)"
252 (250),Guingamp,Ligue 1,"£355,500 (£6,837)","$462,150 ($8,888)"
253 (220),LA Galaxy,MLS,"£347,091 (£6,675)","$451,218 ($8,677)"
254 (243),Angers,Ligue 1,"£346,900 (£6,671)","$450,970 ($8,673)"
RANK,TEAM,LEAGUE,AVG ANNUAL PAY £,AVG ANNUAL PAY $
"(LAST YEAR)",,,(AVG WEEKLY PAY),(AVG WEEKLY PAY)
303 (263),Hawthorn,AFL,"£169,957 (£3,268)","$220,944 ($4,249)"
304 (289),Jubilo Iwata,J.League,"£155,869 (£2,997)","$202,629 ($3,897)"
